gname,glong,glat,vlsr
G024.919+00.294,24.9197,0.294035,108.6
G024.923+00.079,24.923,0.079,42.4
G024.951-00.050,24.9517,-0.0496306,49.8
G025.142-00.338,25.1422,-0.338,118.2
G025.142-00.338,25.1422,-0.338,59.0
G025.142-00.338,25.1422,-0.338,9.5
G025.147+00.089,25.1478,0.0895542,46.5
G025.155+00.059,25.1551,0.0595925,45.5
G025.183+00.117,25.183,0.117981,56.7
G025.183+00.117,25.183,0.117981,47.7
G025.183+00.117,25.183,0.117981,99.6
G025.220+00.289,25.22,0.289,42.4
G025.286+00.298,25.2867,0.298032,39.6
G025.291-00.303,25.2917,-0.302325,63.7
G025.305+00.532,25.305,0.532,7.0
G025.382-00.151,25.3827,-0.150504,59.3
G025.386-00.347,25.386,-0.347,62.1
G025.397+00.033,25.3978,0.0336673,-14.4
G025.398+00.562,25.398,0.562,12.9
G025.401+00.021,25.4012,0.0216883,-14.4
G025.460-00.210,25.46,-0.21,117.3
G025.469-00.121,25.469,-0.121,96.9
G025.477+00.040,25.477,0.04,-14.6
G025.519+00.215,25.5193,0.215993,109.8
G025.519+00.215,25.5193,0.215993,37.4
G025.521-00.098,25.5219,-0.0974344,56.1
G025.521-00.098,25.5219,-0.0974344,107.8
G025.599-00.252,25.5991,-0.251477,64.3
G025.599-00.252,25.5991,-0.251477,114.2
G025.599-00.252,25.5991,-0.251477,122.3
G025.651-00.031,25.6514,-0.0308433,87.5
G025.691-00.469,25.6917,-0.468949,57.2
G025.691-00.469,25.6917,-0.468949,106.4
G025.700+00.028,25.7,0.0287581,52.7
G025.796+00.239,25.7967,0.239781,112.1
G025.801-00.158,25.8012,-0.157029,99.0
G025.867+00.118,25.8673,0.118933,111.4
G026.090-00.079,26.0904,-0.0786539,30.7
G026.117-00.068,26.1173,-0.0672064,30.7
G026.261+00.280,26.261,0.28,88.6
G026.306+00.073,26.3065,0.0732775,67.0
G026.306+00.073,26.3065,0.0732775,98.8
G026.330-00.071,26.33,-0.071,100.9
G026.384+01.401,26.3846,1.40117,41.7
G026.385+01.398,26.3852,1.39863,41.7
G026.433+00.614,26.433,0.614,88.6
G026.443+01.741,26.4431,1.74165,37.3
G026.521-00.317,26.5214,-0.316046,104.2
G026.542+00.419,26.5425,0.419246,88.4
G026.595+00.095,26.5959,0.0951636,102.5
G026.597-00.024,26.5977,-0.0236559,19.4
G026.610-00.212,26.61,-0.212,-35.7
G026.645+00.018,26.6451,0.0185137,108.7
G026.721+00.163,26.7219,0.163723,31.0
G026.727+00.501,26.7271,0.501416,83.1
G026.797-00.113,26.7973,-0.112278,69.2
G026.824+00.380,26.824,0.38,82.0
G026.966+00.104,26.966,0.10455,85.2
G026.966+00.104,26.966,0.10455,28.8
G026.984-00.062,26.9846,-0.0615161,79.9
G027.033-00.151,27.0336,-0.150484,95.6
G027.177+00.041,27.1779,0.0419325,93.2
G027.182-00.083,27.1827,-0.0828333,27.8
G027.185-00.156,27.1857,-0.155484,27.2
G027.186-00.083,27.1862,-0.0821667,27.8
G027.187-00.080,27.1877,-0.0797076,27.8
G027.210+00.282,27.2105,0.282335,5.9
G027.279+00.160,27.2792,0.16025,36.3
G027.279+00.143,27.2799,0.143667,36.3
G027.281-00.132,27.2814,-0.131893,92.3
G027.320+00.263,27.32,0.263,28.5
G027.336+00.184,27.3367,0.184071,80.4
G027.366-00.164,27.366,-0.164,82.5
G027.366-00.164,27.366,-0.164,105.5
G027.476+00.179,27.4765,0.179033,34.0
G027.480-00.146,27.4805,-0.145207,92.2
G027.518+00.200,27.5185,0.200614,34.0
G027.562+00.084,27.562,0.084,87.5
G027.564+00.090,27.5648,0.0900833,87.5
G027.611+00.020,27.6113,0.0204128,88.7
G027.682+00.076,27.682,0.076,100.2
G027.906-00.010,27.906,-0.00999999,96.4
G027.934+00.206,27.934,0.206,50.6
G027.980+00.080,27.98,0.08,76.6
G027.997+00.317,27.997,0.317,92.7
G028.022-00.043,28.0225,-0.04221,99.9
G028.128+00.338,28.128,0.338,31.8
G028.146+00.146,28.1469,0.146897,89.2
G028.200-00.050,28.2,-0.05,100.3
G028.200-00.050,28.2,-0.05,77.0
G028.246+00.013,28.2462,0.0131389,110.3
G028.246+00.013,28.2462,0.0131389,80.0
